CO2Air,TAir,TTop,TCan
782.826,20.1,21.1,21.1
777.4272,20.2,21.2,21.2
788.2247993,20.10000001,21.10000001,21.10000001
797.2228,20.3,21.3,21.3
772.0284013,20.19999999,21.19999999,21.19999999
791.8239973,20.10000001,21.10000001,21.10000001
782.8260006,20.1,21.1,21.1
786.4251999,20.2,21.2,21.2
781.0264007,20.2,21.2,21.2
800.8220018,20.10000002,21.10000002,21.10000002
818.8179982,20.29999998,21.29999998,21.29999998
791.8240009,20.3,21.3,21.3
797.2228,20.2,21.2,21.2
790.0243996,20.10000001,21.10000001,21.10000001
784.6256007,20.19999999,21.19999999,21.19999999
799.022399,20.2,21.2,21.2
802.6215999,20.1,21.1,21.1
797.2228006,20.29999999,21.29999999,21.29999999
815.2187986,20.10000001,21.10000001,21.10000001
800.8220014,20.19999999,21.19999999,21.19999999
818.8179994,20.3,21.3,21.3
804.4212,20.3,21.3,21.3
811.6195987,20.49999999,21.49999999,21.49999999
791.8240027,20.40000001,21.40000001,21.40000001
820.6175981,20.30000001,21.30000001,21.30000001
806.2208005,20.4,21.4,21.4
817.0183995,20.4,21.4,21.4
802.6216013,20.49999999,21.49999999,21.49999999
815.2187987,20.40000001,21.40000001,21.40000001
793.6236007,20.5,21.5,21.5
822.4172,20.3,21.3,21.3
808.0203998,20.50000001,21.50000001,21.50000001
804.4212005,20.59999999,21.59999999,21.59999999
802.6216001,20.6,21.6,21.6
808.0203998,20.5,21.5,21.5
806.2208002,20.6,21.6,21.6
811.6195989,20.6,21.6,21.6
800.8220011,20.6,21.6,21.6
808.0203998,20.6,21.6,21.6
809.82,20.7,21.7,21.7
811.6195996,20.50000001,21.50000001,21.50000001
806.2208007,20.59999999,21.59999999,21.59999999
799.0224005,20.6,21.6,21.6
815.2187995,20.6,21.6,21.6
811.6195997,20.7,21.7,21.7
802.6215995,20.69999998,21.69999998,21.69999998
797.2228005,20.50000002,21.50000002,21.50000002
815.2187994,20.5,21.5,21.5
802.6216,20.5,21.5,21.5
793.6236002,20.59999999,21.59999999,21.59999999
797.2227995,20.40000003,21.40000003,21.40000003
802.6215996,20.49999999,21.49999999,21.49999999
802.6216,20.5,21.5,21.5
817.0183992,20.6,21.6,21.6
791.824002,20.59999999,21.59999999,21.59999999
811.619598,20.50000001,21.50000001,21.50000001
790.0244007,20.6,21.6,21.6
804.4212,20.6,21.6,21.6
791.8239994,20.30000001,21.30000001,21.30000001
782.8260012,20.39999999,21.39999999,21.39999999
790.0243995,20.49999999,21.49999999,21.49999999
797.2227998,20.5,21.5,21.5
800.8219998,20.20000001,21.20000001,21.20000001
793.6236005,20.59999998,21.59999998,21.59999998
799.0223995,20.40000002,21.40000002,21.40000002
802.6215999,20.5,21.5,21.5
800.822,20.4,21.4,21.4
781.0264019,20.4,21.4,21.4
809.8199961,20.4,21.4,21.4
791.8240012,20.4,21.4,21.4
804.4211996,20.3,21.3,21.3
809.8200004,20.4,21.4,21.4
820.6175971,20.39999998,21.39999998,21.39999998
791.8240029,20.20000002,21.20000002,21.20000002
802.6215996,20.2,21.2,21.2
802.6216,20.4,21.4,21.4
809.8199999,20.29999999,21.29999999,21.29999999
808.0204002,20.10000003,21.10000003,21.10000003
797.2228007,20.29999999,21.29999999,21.29999999
797.2228,20.10000001,21.10000001,21.10000001
811.6195999,20.2,21.2,21.2
808.0204005,20.1,21.1,21.1
813.4191995,20.1,21.1,21.1
